
CLKs     PCr      PCs      IRs          PCerr  Werr      LEDs         RegW  RDins        MemW  MDins
010a     3244     3244     00132020     00     00000     00000032     1     00000302     0     00000000
010b     3248     3248     20020022     00     00000     00000032     1     00000022     0     00000000
010c     324c     324c     0000000c     00     00000     00000032     0     00000000     0     00000000
010d     3250     3250     1600fffa     00     00000     00000302     0     00000000     0     00000000
010e     323c     323c     00108100     00     00000     00000302     1     00003000     0     00000000
010f     3240     3240     02149825     00     00000     00000302     1     00003002     0     00000000
0110     3244     3244     00132020     00     00000     00000302     1     00003002     0     00000000
0111     3248     3248     20020022     00     00000     00000302     1     00000022     0     00000000
0112     324c     324c     0000000c     00     00000     00000302     0     00000000     0     00000000
0113     3250     3250     1600fffa     00     00000     00003002     0     00000000     0     00000000
0114     323c     323c     00108100     00     00000     00003002     1     00030000     0     00000000
0115     3240     3240     02149825     00     00000     00003002     1     00030002     0     00000000
0116     3244     3244     00132020     00     00000     00003002     1     00030002     0     00000000
0117     3248     3248     20020022     00     00000     00003002     1     00000022     0     00000000
0118     324c     324c     0000000c     00     00000     00003002     0     00000000     0     00000000
0119     3250     3250     1600fffa     00     00000     00030002     0     00000000     0     00000000
011a     323c     323c     00108100     00     00000     00030002     1     00300000     0     00000000
011b     3240     3240     02149825     00     00000     00030002     1     00300002     0     00000000
011c     3244     3244     00132020     00     00000     00030002     1     00300002     0     00000000
011d     3248     3248     20020022     00     00000     00030002     1     00000022     0     00000000
011e     324c     324c     0000000c     00     00000     00030002     0     00000000     0     00000000
011f     3250     3250     1600fffa     00     00000     00300002     0     00000000     0     00000000
0120     323c     323c     00108100     00     00000     00300002     1     03000000     0     00000000
0121     3240     3240     02149825     00     00000     00300002     1     03000002     0     00000000
0122     3244     3244     00132020     00     00000     00300002     1     03000002     0     00000000
0123     3248     3248     20020022     00     00000     00300002     1     00000022     0     00000000
0124     324c     324c     0000000c     00     00000     00300002     0     00000000     0     00000000
0125     3250     3250     1600fffa     00     00000     03000002     0     00000000     0     00000000
0126     323c     323c     00108100     00     00000     03000002     1     30000000     0     00000000
0127     3240     3240     02149825     00     00000     03000002     1     30000002     0     00000000
