
CLKs     PCr      PCs      IRs          PCerr  Werr      LEDs         RegW  RDins        MemW  MDins
015e     31d8     31d8     20020022     00     00000     00000021     1     00000022     0     00000000
015f     31dc     31dc     0000000c     00     00000     00000021     0     00000000     0     00000000
0160     31e0     31e0     1600fffa     00     00000     00000201     0     00000000     0     00000000
0161     31cc     31cc     00108100     00     00000     00000201     1     00002000     0     00000000
0162     31d0     31d0     02149825     00     00000     00000201     1     00002001     0     00000000
0163     31d4     31d4     00132020     00     00000     00000201     1     00002001     0     00000000
0164     31d8     31d8     20020022     00     00000     00000201     1     00000022     0     00000000
0165     31dc     31dc     0000000c     00     00000     00000201     0     00000000     0     00000000
0166     31e0     31e0     1600fffa     00     00000     00002001     0     00000000     0     00000000
0167     31cc     31cc     00108100     00     00000     00002001     1     00020000     0     00000000
0168     31d0     31d0     02149825     00     00000     00002001     1     00020001     0     00000000
0169     31d4     31d4     00132020     00     00000     00002001     1     00020001     0     00000000
016a     31d8     31d8     20020022     00     00000     00002001     1     00000022     0     00000000
016b     31dc     31dc     0000000c     00     00000     00002001     0     00000000     0     00000000
016c     31e0     31e0     1600fffa     00     00000     00020001     0     00000000     0     00000000
016d     31cc     31cc     00108100     00     00000     00020001     1     00200000     0     00000000
016e     31d0     31d0     02149825     00     00000     00020001     1     00200001     0     00000000
016f     31d4     31d4     00132020     00     00000     00020001     1     00200001     0     00000000
0170     31d8     31d8     20020022     00     00000     00020001     1     00000022     0     00000000
0171     31dc     31dc     0000000c     00     00000     00020001     0     00000000     0     00000000
0172     31e0     31e0     1600fffa     00     00000     00200001     0     00000000     0     00000000
0173     31cc     31cc     00108100     00     00000     00200001     1     02000000     0     00000000
0174     31d0     31d0     02149825     00     00000     00200001     1     02000001     0     00000000
0175     31d4     31d4     00132020     00     00000     00200001     1     02000001     0     00000000
0176     31d8     31d8     20020022     00     00000     00200001     1     00000022     0     00000000
0177     31dc     31dc     0000000c     00     00000     00200001     0     00000000     0     00000000
0178     31e0     31e0     1600fffa     00     00000     02000001     0     00000000     0     00000000
0179     31cc     31cc     00108100     00     00000     02000001     1     20000000     0     00000000
