CLKs     PCr      PCs      IRs          PCerr  Werr      LEDs         RegW  RDins        MemW  MDins
00d2     3164     3164     23bd0004     00     00000     00000001     1     000007f4     0     00000000
00d3     3168     3168     afb00000     00     00000     00000001     0     00000000     1     00000001
00d4     316c     316c     23bd0004     00     00000     00000001     1     000007f8     0     00000000
00d5     3170     3170     afb30000     00     00000     00000001     0     00000000     1     80000000
00d6     3174     3174     23bd0004     00     00000     00000001     1     000007fc     0     00000000
00d7     3178     3178     afb40000     00     00000     00000001     0     00000000     1     00000003
00d8     317c     317c     23bd0004     00     00000     00000001     1     00000800     0     00000000
00d9     3180     3180     afb50000     00     00000     00000001     0     00000000     1     00000000
00da     3184     3184     23bd0004     00     00000     00000001     1     00000804     0     00000000
00db     3188     3188     afb60000     00     00000     00000001     0     00000000     1     00000001
00dc     318c     318c     23bd0004     00     00000     00000001     1     00000808     0     00000000
00dd     3190     3190     40000000     00     00000     00000001     0     00000000     0     00000000
00de     3194     3194     20160002     00     00000     00000001     1     00000002     0     00000000
00df     3198     3198     20140003     00     00000     00000001     1     00000003     0     00000000
00e0     319c     319c     20150001     00     00000     00000001     1     00000001     0     00000000
00e1     31a0     31a0     00168020     00     00000     00000001     1     00000002     0     00000000
00e2     31a4     31a4     00108100     00     00000     00000001     1     00000020     0     00000000
00e3     31a8     31a8     02149825     00     00000     00000001     1     00000023     0     00000000
00e4     31ac     31ac     00132020     00     00000     00000001     1     00000023     0     00000000
00e5     31b0     31b0     20020022     00     00000     00000001     1     00000022     0     00000000
00e6     31b4     31b4     0000000c     00     00000     00000001     0     00000000     0     00000000
00e7     31b8     31b8     1600fffa     00     00000     00000023     0     00000000     0     00000000
00e8     31a4     31a4     00108100     00     00000     00000023     1     00000200     0     00000000
00e9     31a8     31a8     02149825     00     00000     00000023     1     00000203     0     00000000
00ea     31ac     31ac     00132020     00     00000     00000023     1     00000203     0     00000000
00eb     31b0     31b0     20020022     00     00000     00000023     1     00000022     0     00000000
00ec     31b4     31b4     0000000c     00     00000     00000023     0     00000000     0     00000000
00ed     31b8     31b8     1600fffa     00     00000     00000203     0     00000000     0     00000000
00ee     31a4     31a4     00108100     00     00000     00000203     1     00002000     0     00000000
00ef     31a8     31a8     02149825     00     00000     00000203     1     00002003     0     00000000
00f0     31ac     31ac     00132020     00     00000     00000203     1     00002003     0     00000000
00f1     31b0     31b0     20020022     00     00000     00000203     1     00000022     0     00000000
00f2     31b4     31b4     0000000c     00     00000     00000203     0     00000000     0     00000000
00f3     31b8     31b8     1600fffa     00     00000     00002003     0     00000000     0     00000000
00f4     31a4     31a4     00108100     00     00000     00002003     1     00020000     0     00000000
00f5     31a8     31a8     02149825     00     00000     00002003     1     00020003     0     00000000
00f6     31ac     31ac     00132020     00     00000     00002003     1     00020003     0     00000000
00f7     31b0     31b0     20020022     00     00000     00002003     1     00000022     0     00000000
00f8     31b4     31b4     0000000c     00     00000     00002003     0     00000000     0     00000000
00f9     31b8     31b8     1600fffa     00     00000     00020003     0     00000000     0     00000000
00fa     31a4     31a4     00108100     00     00000     00020003     1     00200000     0     00000000
00fb     31a8     31a8     02149825     00     00000     00020003     1     00200003     0     00000000
00fc     31ac     31ac     00132020     00     00000     00020003     1     00200003     0     00000000
00fd     31b0     31b0     20020022     00     00000     00020003     1     00000022     0     00000000
00fe     31b4     31b4     0000000c     00     00000     00020003     0     00000000     0     00000000
00ff     31b8     31b8     1600fffa     00     00000     00200003     0     00000000     0     00000000
0100     31a4     31a4     00108100     00     00000     00200003     1     02000000     0     00000000
0101     31a8     31a8     02149825     00     00000     00200003     1     02000003     0     00000000
0102     31ac     31ac     00132020     00     00000     00200003     1     02000003     0     00000000
0103     31b0     31b0     20020022     00     00000     00200003     1     00000022     0     00000000
0104     31b4     31b4     0000000c     00     00000     00200003     0     00000000     0     00000000
0105     31b8     31b8     1600fffa     00     00000     02000003     0     00000000     0     00000000
0106     31a4     31a4     00108100     00     00000     02000003     1     20000000     0     00000000
0107     31a8     31a8     02149825     00     00000     02000003     1     20000003     0     00000000
0108     31ac     31ac     00132020     00     00000     02000003     1     20000003     0     00000000
0109     31b0     31b0     20020022     00     00000     02000003     1     00000022     0     00000000
010a     31b4     31b4     0000000c     00     00000     02000003     0     00000000     0     00000000
010b     31b8     31b8     1600fffa     00     00000     20000003     0     00000000     0     00000000
010c     31a4     31a4     00108100     00     00000     20000003     1     00000000     0     00000000
010d     31a8     31a8     02149825     00     00000     20000003     1     00000003     0     00000000
010e     31ac     31ac     00132020     00     00000     20000003     1     00000003     0     00000000
010f     31b0     31b0     20020022     00     00000     20000003     1     00000022     0     00000000
0110     31b4     31b4     0000000c     00     00000     20000003     0     00000000     0     00000000
0111     31b8     31b8     1600fffa     00     00000     00000003     0     00000000     0     00000000
0112     31bc     31bc     0295a022     00     00000     00000003     1     00000002     0     00000000
0113     31c0     31c0     1680fff7     00     00000     00000003     0     00000000     0     00000000
0114     31a0     31a0     00168020     00     00000     00000003     1     00000002     0     00000000
0115     31a4     31a4     00108100     00     00000     00000003     1     00000020     0     00000000
0116     31a8     31a8     02149825     00     00000     00000003     1     00000022     0     00000000
